,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,energy_b3lyp,energy_pbe
0,C,1.350508,0.7790238,0.6630868,H,1.825709,1.257877,-0.1891705,H,1.848891,1.089646,1.577782,H,0.3037303,1.06899,0.7044747,H,1.423537,-0.3005121,0.5594173,C,-1.832366,1.29379,-2.492349,N,-1.370433,2.318893,-2.58271,-133.198708843,-131.356977951
1,C,-0.5086471,-2.138874,-3.320668,H,-0.5449647,-3.037079,-2.67853,H,-2.579219,-1.18992,-4.731098,H,0.09338155,-1.310481,-2.913202,H,-0.05239588,-2.407384,-4.421351,C,-2.153129,-1.813992,-3.854247,N,-2.438829,-2.964101,-4.357528,-133.191538343,-131.371144375
2,C,-0.5045802,-2.127047,-3.351115,H,-0.5494158,-2.984488,-2.664035,H,-2.567575,-1.203807,-4.760635,H,0.08273561,-1.286342,-2.932758,H,-0.1122211,-2.475661,-4.4418,C,-2.160016,-1.8287,-3.896619,N,-2.472412,-2.978231,-4.349456,-133.197744785,-131.375143681
3,C,-0.5019425,-2.104652,-3.417862,H,-0.5610781,-2.879059,-2.642257,H,-2.554239,-1.201878,-4.855715,H,0.03921267,-1.242739,-2.983683,H,-0.3009731,-2.58427,-4.482919,C,-2.164832,-1.870366,-3.984235,N,-2.536896,-3.002506,-4.328452,-133.201664753,-131.371853517
4,C,-0.5303546,-2.076829,-3.553519,H,-0.598367,-2.713795,-2.652341,H,-2.521434,-1.256602,-4.914187,H,-0.0655265,-1.151009,-3.197243,H,-0.623381,-2.657851,-4.617239,C,-2.148313,-1.95157,-4.147415,N,-2.655147,-3.05243,-4.280894,-133.192823124,-131.352577773
5,C,-0.5465948,-2.073968,-3.590447,H,-0.6097699,-2.681557,-2.672863,H,-2.517484,-1.275275,-4.89155,H,-0.08946554,-1.12009,-3.281479,H,-0.6557447,-2.643098,-4.661738,C,-2.138959,-1.97002,-4.185932,N,-2.686163,-3.068319,-4.267655,-133.19540176,-131.355886278
6,C,-0.5870057,-2.070981,-3.66362,H,-0.6278196,-2.639057,-2.729686,H,-2.541861,-1.238084,-4.937888,H,-0.1369251,-1.070269,-3.46832,H,-0.6452312,-2.565387,-4.736519,C,-2.115318,-2.00959,-4.24892,N,-2.743586,-3.098728,-4.241667,-133.211621101,-131.3807872
7,C,-0.6652551,-2.061654,-3.781101,H,-0.6276059,-2.62809,-2.844038,H,-2.569174,-1.179364,-4.944999,H,-0.2298751,-1.052553,-3.764927,H,-0.4874528,-2.390287,-4.827526,C,-2.08397,-2.078521,-4.326599,N,-2.817278,-3.129667,-4.204274,-133.232215996,-131.407873558
8,C,-0.6923211,-2.056287,-3.819407,H,-0.6158593,-2.634902,-2.887877,H,-2.557034,-1.198794,-4.915665,H,-0.2649724,-1.054582,-3.843792,H,-0.4274249,-2.347685,-4.868672,C,-2.079278,-2.101853,-4.34745,N,-2.835641,-3.133572,-4.193981,-133.238128077,-131.413095542
9,C,-0.7202209,-2.04998,-3.860328,H,-0.5963588,-2.64414,-2.939547,H,-2.53743,-1.23867,-4.899981,H,-0.3038578,-1.051894,-3.911253,H,-0.3707803,-2.318624,-4.923104,C,-2.078427,-2.12718,-4.367114,N,-2.852293,-3.134885,-4.184208,-133.24223161,-131.415018675
